NGC80;0h21.2m;+22°21';ANDROMEDA;Galaxy Type E-S0;12.1;2'x2';Distance : 80 Mly
NGC108;0h26m;+29°13';ANDROMEDA;Galaxy Type SB0-a;12.1;2'x2';Distance : 67 Mly
NGC529;1h25.7m;+34°43';ANDROMEDA;Galaxy Type E-S0;12.1;2'x2';Distance : 68 Mly
NGC847;2h12.2m;+44°34';ANDROMEDA;Galaxy Type SBab;12.1;2'x2';Distance : 72 Mly
NGC910;2h25.4m;+41°49';ANDROMEDA;Galaxy Type E0;12.2;2'x2';Distance : 73 Mly
NGC6962;20h47.3m;+0°19';AQUARIUS;Galaxy Type SBab;12.1;3'x2';Distance : 59 Mly
NGC7171;22h1m;-13°16';AQUARIUS;Galaxy Type SBb;12.2;3'x2';Distance : 38 Mly
NGC6915;20h27.8m;-3°5';AQUILAE;Galaxy Type Sab;12.2;2'x1';Distance : 80 Mly
NGC1012;2h39.2m;+30°9';ARIES;Galaxy Type S0-a;12;3'x1';Distance : 14 Mly
NGC1024;2h39.2m;+10°51';ARIES;Galaxy Type Sab;12.1;4'x2';Distance : 50 Mly
NGC1134;2h53.7m;+13°1';ARIES;Galaxy Type Sb;12.2;3'x1';Distance : 51 Mly
NGC677;1h49.2m;+13°3';ARIES;Galaxy Type E0;12.2;2'x2';Distance : 72 Mly
NGC918;2h25.8m;+18°30';ARIES;Galaxy Type SBc;12.2;4'x2';Distance : 21 Mly
NGC678;1h49.4m;+21°60';ARIES;Galaxy Type SBb;12.2;5'x1';Distance : 40 Mly
NGC1883;5h25.9m;+46°29';AURIGA;Open Cluster Type II3p;12;5';Distance : 15700 ly
NGC5665;14h32.4m;+8°5';BOOTES;Galaxy Type SBc;12;2'x1';Distance : 31 Mly
NGC5600;14h23.8m;+14°38';BOOTES;Galaxy Type Sc;12.1;1'x1';Distance : 33 Mly
NGC5490A;14h10m;+17°33';BOOTES;Galaxy Type E2;12.1;2'x2';Distance : 68 Mly
NGC5629;14h28.3m;+25°51';BOOTES;Galaxy Type S0;12.1;2'x2';Distance : 63 Mly
NGC5739;14h42.5m;+41°51';BOOTES;Galaxy Type SB0-a;12.1;2'x2';Distance : 76 Mly
NGC5673;14h31.5m;+49°58';BOOTES;Galaxy Type SBc;12.1;2'x1';Distance : 29 Mly
NGC5523;14h14.9m;+25°19';BOOTES;Galaxy Type Sc;12.2;5'x1';Distance : 15 Mly
NGC5653;14h30.2m;+31°13';BOOTES;Galaxy Type Sb;12.2;2'x1';Distance : 50 Mly
NGC5966;15h35.9m;+39°46';BOOTES;Galaxy Type E4;12.2;2'x1';Distance : 63 Mly
NGC5930;15h26.1m;+41°41';BOOTES;Galaxy Type SBb/P;12.2;1'x1';Distance : 37 Mly
NGC2634;8h48.4m;+73°58';CAMELOPARDA;Galaxy Type E1;12;2'x2';Distance : 32 Mly
NGC2551;8h24.8m;+73°25';CAMELOPARDA;Galaxy Type Sa;12.1;2'x1';Distance : 33 Mly
NGC2646;8h50.4m;+73°28';CAMELOPARDA;Galaxy Type SB0;12.1;1'x1';Distance : 52 Mly
NGC2441;7h51.9m;+73°1';CAMELOPARDA;Galaxy Type SBb;12.2;2'x2';Distance : 49 Mly
NGC2633;8h48.1m;+74°6';CAMELOPARDA;Galaxy Type SBb/P;12.2;2'x2';Distance : 30 Mly
NGC2314;7h10.5m;+75°20';CAMELOPARDA;Galaxy Type E3;12.2;1'x1';Distance : 54 Mly
NGC2591;8h37.4m;+78°2';CAMELOPARDA;Galaxy Type Sc;12.2;3'x1';Distance : 19 Mly
NGC2554;8h17.9m;+23°28';CANCER;Galaxy Type S0-a;12;3'x2';Distance : 59 Mly
NGC2507;8h1.6m;+15°43';CANCER;Galaxy Type S0-a;12.2;3'x2';Distance : 64 Mly
NGC2563;8h20.6m;+21°4';CANCER;Galaxy Type S0;12.2;2'x2';Distance : 63 Mly
NGC2599;8h32.2m;+22°34';CANCER;Galaxy Type Sa;12.2;2'x2';Distance : 67 Mly
NGC3167;9h15m;+29°44';CANCER;Galaxy Type SB0-a;12.2;2'x1';Distance : 89 Mly
NGC5313;13h49.7m;+39°59';CANES VENAT;Galaxy Type Sb;12;2'x1';Distance : 36 Mly
NGC5351;13h53.5m;+37°55';CANES VENAT;Galaxy Type SBb;12.1;3'x2';Distance : 51 Mly
NGC5112;13h21.9m;+38°44';CANES VENAT;Galaxy Type SBc;12.1;4'x3';Distance : 14 Mly
NGC5320;13h50.3m;+41°22';CANES VENAT;Galaxy Type SBc;12.1;4'x2';Distance : 37 Mly
NGC4868;12h59.2m;+37°19';CANES VENAT;Galaxy Type Sab;12.2;2'x1';Distance : 66 Mly
NGC5173;13h28.4m;+46°36';CANES VENAT;Galaxy Type E1;12.2;1'x1';Distance : 34 Mly
NGC2485;7h56.8m;+7°29';CANIS MINOR;Galaxy Type Sa;12.2;2'x1';Distance : 65 Mly
NGC7354;22h40.3m;+61°17';CEPHEUS;Planetary Nebula;12.2;1';Distance : 7200 ly
NGC271;0h50.7m;-1°55';CETUS;Galaxy Type SBab;12;2'x2';Distance : 58 Mly
NGC955;2h30.6m;-1°7';CETUS;Galaxy Type Sab;12;3'x1';Distance : 21 Mly
NGC681;1h49.2m;-10°26';CETUS;Galaxy Type SBab;12;3'x2';Distance : 25 Mly
NGC357;1h3.4m;-6°20';CETUS;Galaxy Type SB0-a;12;3'x2';Distance : 34 Mly
NGC1015;2h38.2m;-1°19';CETUS;Galaxy Type SBa;12.1;2'x2';Distance : 37 Mly
NGC541;1h25.7m;-1°23';CETUS;Galaxy Type E-S0;12.1;2'x2';Distance : 76 Mly
NGC448;1h15.3m;-1°38';CETUS;Galaxy Type E-S0;12.1;2'x1';Distance : 26 Mly
NGC945;2h28.6m;-10°32';CETUS;Galaxy Type SBc;12.1;2'x2';Distance : 63 Mly
NGC835;2h9.4m;-10°8';CETUS;Galaxy Type SBab/P;12.1;1'x1';Distance : 57 Mly
NGC788;2h1.1m;-6°49';CETUS;Galaxy Type S0-a;12.1;2'x1';Distance : 57 Mly
NGC757;1h54.9m;-9°1';CETUS;Galaxy Type E0;12.1;2'x2';Distance : 54 Mly
NGC1107;2h49.3m;+8°6';CETUS;Galaxy Type S0;12.2;2'x2';Distance : 48 Mly
NGC545;1h26m;-1°20';CETUS;Galaxy Type E-S0;12.2;3'x2';Distance : 75 Mly
NGC547;1h26m;-1°21';CETUS;Galaxy Type E1;12.2;2'x2';Distance : 77 Mly
NGC227;0h42.6m;-1°32';CETUS;Galaxy Type E-S0;12.2;2'x1';Distance : 75 Mly
NGC175;0h37.4m;-19°56';CETUS;Galaxy Type SBab;12.2;2'x2';Distance : 55 Mly
NGC958;2h30.7m;-2°56';CETUS;Galaxy Type SBc;12.2;3'x1';Distance : 81 Mly
NGC337A;1h1.6m;-7°35';CETUS;Galaxy Type SBdm;12.2;7'x5';Distance : 15 Mly
NGC1035;2h39.5m;-8°8';CETUS;Galaxy Type Sc;12.2;2'x1';Distance : 17 Mly
NGC701;1h51.1m;-9°42';CETUS;Galaxy Type SBc;12.2;3'x1';Distance : 26 Mly
NGC4405;12h26.1m;+16°11';COMA BERENI;Galaxy Type S0-a;12;2'x1';Distance : 25 Mly
NGC4489;12h30.9m;+16°46';COMA BERENI;Galaxy Type E1;12;2'x2';Distance : 14 Mly
NGC4539;12h34.6m;+18°12';COMA BERENI;Galaxy Type SBa;12;3'x1';Distance : 20 Mly
NGC4659;12h44.5m;+13°30';COMA BERENI;Galaxy Type S0-a;12.1;2'x1';Distance : 7 Mly
NGC4595;12h39.9m;+15°18';COMA BERENI;Galaxy Type SBb;12.1;2'x1';Distance : 9 Mly
NGC4383;12h25.4m;+16°28';COMA BERENI;Galaxy Type Sa;12.1;2'x1';Distance : 24 Mly
NGC4498;12h31.7m;+16°51';COMA BERENI;Galaxy Type SBc;12.1;3'x1';Distance : 21 Mly
NGC4158;12h11.2m;+20°11';COMA BERENI;Galaxy Type Sb;12.1;2'x2';Distance : 35 Mly
NGC4839;12h57.4m;+27°30';COMA BERENI;Galaxy Type E5;12.1;4'x2';Distance : 104 Mly
NGC4789;12h54.3m;+27°4';COMA BERENI;Galaxy Type S0;12.1;2'x2';Distance : 118 Mly
NGC4104;12h6.6m;+28°10';COMA BERENI;Galaxy Type SB0;12.1;3'x2';Distance : 119 Mly
NGC4185;12h13.4m;+28°31';COMA BERENI;Galaxy Type Sbc;12.1;3'x2';Distance : 55 Mly
NGC4283;12h20.3m;+29°19';COMA BERENI;Galaxy Type E0;12.1;2'x2';Distance : 14 Mly
NGC4152;12h10.6m;+16°2';COMA BERENI;Galaxy Type SBc;12.2;2'x2';Distance : 31 Mly
NGC4162;12h11.9m;+24°7';COMA BERENI;Galaxy Type Sbc;12.2;2'x1';Distance : 36 Mly
NGC4921;13h1.4m;+27°53';COMA BERENI;Galaxy Type SBab;12.2;2'x2';Distance : 77 Mly
NGC4169;12h12.3m;+29°11';COMA BERENI;Galaxy Type S0;12.2;2'x1';Distance : 53 Mly
NGC4310;12h22.4m;+29°12';COMA BERENI;Galaxy Type SB0;12.2;2'x1';Distance : 13 Mly
NGC4525;12h33.9m;+30°17';COMA BERENI;Galaxy Type SBc;12.2;3'x1';Distance : 17 Mly
NGC4094;12h5.9m;-14°32';CORVUS;Galaxy Type SBc;12;4'x2';Distance : 20 Mly
NGC4050;12h2.9m;-16°22';CORVUS;Galaxy Type SBab;12.2;3'x2';Distance : 25 Mly
NGC3854;11h44.9m;-9°14';CRATER;Galaxy Type SBb;12;2'x2';Distance : 80 Mly
NGC3571;11h11.5m;-18°17';CRATER;Galaxy Type SBa;12.1;3'x1';Distance : 53 Mly
NGC7044;21h13.2m;+42°30';CYGNUS;Open Cluster Type II2r;12;7';Distance : 10300 ly
NGC7048;21h14.3m;+46°17';CYGNUS;Planetary Nebula;12.1;1';Distance : 3200 ly
NGC6833;19h49.8m;+48°58';CYGNUS;Planetary Nebula;12.1;;Distance : 3200 ly
NGC6824;19h43.7m;+56°7';CYGNUS;Galaxy Type Sab;12.2;2'x1';Distance : 48 Mly
NGC6928;20h32.8m;+9°56';DELPHINIUS;Galaxy Type SBab;12.2;2'x1';Distance : 66 Mly
NGC6128;16h19.2m;+57°59';DRACO;Galaxy Type E0;12;1'x1';Distance : 68 Mly
NGC5949;15h28m;+64°46';DRACO;Galaxy Type Sbc;12;2'x1';Distance : 6 Mly
NGC6869;20h0.7m;+66°14';DRACO;Galaxy Type S0;12;2'x1';Distance : 39 Mly
NGC4128;12h8.5m;+68°46';DRACO;Galaxy Type S0;12;2'x1';Distance : 33 Mly
NGC6654;18h24.1m;+73°11';DRACO;Galaxy Type SB0-a;12;3'x2';Distance : 26 Mly
NGC4648;12h41.7m;+74°25';DRACO;Galaxy Type E3;12;2'x1';Distance : 20 Mly
NGC4319;12h21.7m;+75°19';DRACO;Galaxy Type SBab;12;3'x2';Distance : 21 Mly
NGC6701;18h43.2m;+60°39';DRACO;Galaxy Type SBa;12.1;2'x1';Distance : 56 Mly
NGC4521;12h32.8m;+63°56';DRACO;Galaxy Type S0-a;12.2;3'x1';Distance : 36 Mly
NGC4332;12h22.8m;+65°51';DRACO;Galaxy Type SBa;12.2;2'x2';Distance : 39 Mly
NGC3562;11h13m;+72°53';DRACO;Galaxy Type E2;12.2;2'x1';Distance : 95 Mly
NGC3403;10h53.9m;+73°41';DRACO;Galaxy Type Sbc;12.2;3'x1';Distance : 18 Mly
NGC3329;10h44.7m;+76°49';DRACO;Galaxy Type Sb;12.2;2'x1';Distance : 27 Mly
NGC1638;4h41.6m;-1°49';ERIDANUS;Galaxy Type SB0;12;2'x1';Distance : 47 Mly
NGC1200;3h3.9m;-11°59';ERIDANUS;Galaxy Type E-S0;12;3'x2';Distance : 57 Mly
NGC1393;3h38.6m;-18°26';ERIDANUS;Galaxy Type SB0;12;2'x1';Distance : 30 Mly
NGC1179;3h2.6m;-18°54';ERIDANUS;Galaxy Type SBc;12;5'x4';Distance : 25 Mly
NGC1653;4h45.8m;-2°24';ERIDANUS;Galaxy Type E0;12;2'x2';Distance : 61 Mly
NGC1241;3h11.2m;-8°55';ERIDANUS;Galaxy Type SBb;12;3'x2';Distance : 57 Mly
NGC1417;3h42m;-4°42';ERIDANUS;Galaxy Type SBb;12.1;2'x1';Distance : 58 Mly
NGC1376;3h37.1m;-5°3';ERIDANUS;Galaxy Type Sc;12.1;2'x2';Distance : 59 Mly
NGC1358;3h33.7m;-5°5';ERIDANUS;Galaxy Type SB0-a;12.1;2'x1';Distance : 57 Mly
NGC1689;4h48.6m;-6°19';ERIDANUS;Galaxy Type SBc;12.1;1'x1';Distance : 64 Mly
NGC1779;5h5.3m;-9°9';ERIDANUS;Galaxy Type SB0-a;12.1;3'x1';Distance : 47 Mly
NGC1359;3h33.8m;-19°29';ERIDANUS;Galaxy Type SBm/P;12.2;3'x2';Distance : 28 Mly
NGC2274;6h47.3m;+33°34';GEMINI;Galaxy Type E1;12.1;1'x1';Distance : 71 Mly
NGC2418;7h36.6m;+17°53';GEMINI;Galaxy Type E0;12.2;2'x2';Distance : 71 Mly
NGC6610;18h11.9m;+14°59';HERCULES;Galaxy Type SBbc;12;2'x1';Distance : 32 Mly
NGC6501;17h56.1m;+18°22';HERCULES;Galaxy Type S0-a;12;2'x2';Distance : 43 Mly
NGC6389;17h32.7m;+16°24';HERCULES;Galaxy Type Sbc;12.1;3'x2';Distance : 44 Mly
NGC6661;18h34.6m;+22°55';HERCULES;Galaxy Type S0-a;12.1;2'x1';Distance : 60 Mly
NGC6632;18h25.1m;+27°32';HERCULES;Galaxy Type Sbc;12.1;3'x1';Distance : 67 Mly
NGC6173;16h29.8m;+40°49';HERCULES;Galaxy Type E3;12.1;2'x1';Distance : 124 Mly
NGC6500;17h56m;+18°20';HERCULES;Galaxy Type Sab;12.2;2'x2';Distance : 42 Mly
NGC6495;17h54.8m;+18°20';HERCULES;Galaxy Type E1;12.2;2'x2';Distance : 44 Mly
NGC6674;18h38.6m;+25°22';HERCULES;Galaxy Type SBb;12.2;4'x2';Distance : 48 Mly
NGC6269;16h58m;+27°51';HERCULES;Galaxy Type E2;12.2;2'x2';Distance : 147 Mly
NGC6106;16h18.8m;+7°25';HERCULES;Galaxy Type Sc;12.2;2'x1';Distance : 20 Mly
NGC2763;9h6.8m;-15°30';HYDRA;Galaxy Type SBc;12;2'x2';Distance : 27 Mly
NGC2924;9h35.2m;-16°24';HYDRA;Galaxy Type E1;12;1'x1';Distance : 61 Mly
NGC3200;10h18.6m;-17°59';HYDRA;Galaxy Type SBbc;12;4'x1';Distance : 50 Mly
NGC2727;8h56.1m;-3°22';HYDRA;Galaxy Type Sb;12;3'x1';Distance : 28 Mly
NGC2618;8h35.9m;+0°42';HYDRA;Galaxy Type Sab;12.1;3'x2';Distance : 57 Mly
NGC2765;9h7.6m;+3°24';HYDRA;Galaxy Type S0;12.1;2'x1';Distance : 53 Mly
NGC2947;9h36.1m;-12°26';HYDRA;Galaxy Type SBbc;12.1;2'x1';Distance : 40 Mly
NGC2555;8h17.9m;+0°45';HYDRA;Galaxy Type SBab;12.2;2'x1';Distance : 62 Mly
NGC2992;9h45.7m;-14°20';HYDRA;Galaxy Type Sa;12.2;4'x1';Distance : 33 Mly
NGC2902;9h30.9m;-14°44';HYDRA;Galaxy Type S0;12.2;2'x1';Distance : 28 Mly
NGC3052;9h54.5m;-18°38';HYDRA;Galaxy Type SBc;12.2;2'x1';Distance : 53 Mly
NGC3124;10h6.7m;-19°13';HYDRA;Galaxy Type SBbc;12.2;3'x3';Distance : 50 Mly
NGC2665;8h46m;-19°18';HYDRA;Galaxy Type SBa;12.2;2'x2';Distance : 24 Mly
NGC2721;8h58.9m;-4°54';HYDRA;Galaxy Type Sbc;12.2;2'x2';Distance : 52 Mly
NGC7265;22h22.5m;+36°13';LACERTA;Galaxy Type E-S0;12.1;2'x2';Distance : 72 Mly
NGC7330;22h36.9m;+38°33';LACERTA;Galaxy Type E0;12.2;1'x1';Distance : 75 Mly
NGC7223;22h10.2m;+41°1';LACERTA;Galaxy Type SBc;12.2;1'x1';Distance : 66 Mly
NGC3773;11h38.2m;+12°7';LEO;Galaxy Type S0;12;1'x1';Distance : 14 Mly
NGC3455;10h54.5m;+17°17';LEO;Galaxy Type SBb;12;3'x2';Distance : 16 Mly
NGC3801;11h40.3m;+17°44';LEO;Galaxy Type S0;12;3'x2';Distance : 47 Mly
NGC3599;11h15.4m;+18°7';LEO;Galaxy Type S0;12;3'x2';Distance : 12 Mly
NGC3645;11h20.3m;+2°58';LEO;Galaxy Type S0-a;12;2'x1';Distance : 21 Mly
NGC3098;10h2.3m;+24°43';LEO;Galaxy Type S0-a;12;2'x1';Distance : 20 Mly
NGC4008;11h58.3m;+28°12';LEO;Galaxy Type E5;12;2'x1';Distance : 51 Mly
NGC3434;10h52m;+3°48';LEO;Galaxy Type Sb;12;2'x2';Distance : 51 Mly
NGC3300;10h36.6m;+14°10';LEO;Galaxy Type SB0;12.1;2'x1';Distance : 43 Mly
NGC2916;9h35m;+21°42';LEO;Galaxy Type Sb;12.1;3'x2';Distance : 53 Mly
NGC3437;10h52.6m;+22°56';LEO;Galaxy Type SBc;12.1;3'x1';Distance : 18 Mly
NGC3798;11h40.2m;+24°42';LEO;Galaxy Type SB0;12.1;2'x1';Distance : 50 Mly
NGC3629;11h20.5m;+26°58';LEO;Galaxy Type SBc;12.1;2'x2';Distance : 21 Mly
NGC3067;9h58.4m;+32°22';LEO;Galaxy Type SBab;12.1;2'x1';Distance : 21 Mly
NGC3049;9h54.8m;+9°16';LEO;Galaxy Type SBab;12.1;2'x2';Distance : 21 Mly
NGC3692;11h28.4m;+9°24';LEO;Galaxy Type Sb;12.1;3'x1';Distance : 24 Mly
NGC3659;11h23.8m;+17°49';LEO;Galaxy Type SBm;12.2;2'x1';Distance : 18 Mly
NGC3185;10h17.6m;+21°41';LEO;Galaxy Type SBa;12.2;2'x1';Distance : 17 Mly
NGC3611;11h17.5m;+4°33';LEO;Galaxy Type Sa;12.2;2'x2';Distance : 22 Mly
NGC3396;10h49.9m;+32°59';LEO MINOR;Galaxy Type SBm/P;12;3'x1';Distance : 23 Mly
NGC3510;11h3.7m;+28°53';LEO MINOR;Galaxy Type SBm;12.1;4'x1';Distance : 10 Mly
NGC3021;9h51m;+33°33';LEO MINOR;Galaxy Type Sbc;12.1;2'x1';Distance : 22 Mly
NGC2089;5h47.9m;-17°36';LEPUS;Galaxy Type E/SB0;12;2'x1';Distance : 42 Mly
NGC5595;14h24.2m;-16°43';LIBRA;Galaxy Type SBc;12;2'x1';Distance : 38 Mly
NGC5597;14h24.5m;-16°46';LIBRA;Galaxy Type SBcd;12;2'x2';Distance : 38 Mly
NGC2493;8h0.4m;+39°50';LYNX;Galaxy Type SB0;12;2'x2';Distance : 55 Mly
NGC2344;7h12.5m;+47°10';LYNX;Galaxy Type SBbc;12;2'x1';Distance : 14 Mly
NGC2712;8h59.5m;+44°55';LYNX;Galaxy Type SBb;12.1;3'x2';Distance : 26 Mly
NGC2552;8h19.3m;+50°0';LYNX;Galaxy Type SBm;12.1;4'x2';Distance : 7 Mly
NGC6792;19h21m;+43°8';LYRA;Galaxy Type SBb;12.1;2'x1';Distance : 65 Mly
NGC1691;4h54.6m;+3°16';ORION;Galaxy Type SB0-a;12;2'x2';Distance : 65 Mly
NGC1684;4h52.5m;-3°6';ORION;Galaxy Type E2;12;2'x2';Distance : 62 Mly
NGC7385;22h49.9m;+11°36';PEGASUS;Galaxy Type E2;12;1'x1';Distance : 111 Mly
NGC7042;21h13.8m;+13°35';PEGASUS;Galaxy Type Sb;12;2'x2';Distance : 72 Mly
NGC7769;23h51.1m;+20°9';PEGASUS;Galaxy Type Sb;12;3'x3';Distance : 59 Mly
NGC23;0h9.9m;+25°55';PEGASUS;Galaxy Type SBa;12;2'x1';Distance : 64 Mly
NGC16;0h9.1m;+27°44';PEGASUS;Galaxy Type E/SB0;12;2'x1';Distance : 44 Mly
NGC7753;23h47.1m;+29°29';PEGASUS;Galaxy Type SBbc;12;3'x2';Distance : 73 Mly
NGC14;0h8.8m;+15°49';PEGASUS;Galaxy Type IBm;12.1;3'x2';Distance : 12 Mly
NGC7280;22h26.5m;+16°9';PEGASUS;Galaxy Type SB0-a;12.1;2'x2';Distance : 26 Mly
NGC7625;23h20.5m;+17°14';PEGASUS;Galaxy Type Sa;12.1;2'x1';Distance : 23 Mly
NGC1123;2h52.9m;+42°12';PERSEUS;Galaxy Type SBb;12.1;2'x1';Distance : 51 Mly
NGC7716;23h36.5m;+0°18';PISCES;Galaxy Type SBb;12.1;2'x2';Distance : 36 Mly
NGC125;0h28.8m;+2°50';PISCES;Galaxy Type S0-a;12.1;2'x2';Distance : 75 Mly
NGC421;1h12.2m;+32°7';PISCES;Galaxy Type S0;12.1;2'x2';Distance : 71 Mly
NGC499;1h23.2m;+33°28';PISCES;Galaxy Type E-S0;12.1;2'x1';Distance : 62 Mly
NGC6012;15h54.2m;+14°36';SERPENS;Galaxy Type SBab;12;2'x2';Distance : 26 Mly
NGC3055;9h55.3m;+4°16';SEXTANS;Galaxy Type SBc;12.1;2'x1';Distance : 25 Mly
NGC1551;4h19.6m;+2°25';TAURUS;Galaxy Type E-S0;12;2'x2';Distance : 52 Mly
NGC604;1h34.5m;+30°47';TRIANGULUM;HII Nebula in M33;12;2';Distance 2.83 Mly
NGC736;1h56.7m;+33°3';TRIANGULUM;Galaxy Type E0;12.1;2'x2';Distance : 61 Mly
NGC3687;11h28m;+29°31';URSA MAJOR;Galaxy Type SBbc;12;2'x2';Distance : 35 Mly
NGC3264;10h32.3m;+56°5';URSA MAJOR;Galaxy Type SBm;12;3'x1';Distance : 13 Mly
NGC4290;12h20.8m;+58°6';URSA MAJOR;Galaxy Type SBab;12;2'x2';Distance : 43 Mly
NGC5430;14h0.8m;+59°20';URSA MAJOR;Galaxy Type SBb;12;2'x1';Distance : 42 Mly
NGC5389;13h56.1m;+59°45';URSA MAJOR;Galaxy Type SB0-a;12;4'x1';Distance : 26 Mly
NGC3595;11h15.4m;+47°27';URSA MAJOR;Galaxy Type E-S0;12.1;2'x1';Distance : 31 Mly
NGC5480;14h6.4m;+50°44';URSA MAJOR;Galaxy Type Sc;12.1;2'x1';Distance : 26 Mly
NGC3549;11h10.9m;+53°23';URSA MAJOR;Galaxy Type Sc;12.1;3'x1';Distance : 40 Mly
NGC3888;11h47.6m;+55°58';URSA MAJOR;Galaxy Type SBc;12.1;2'x1';Distance : 34 Mly
NGC3182;10h19.6m;+58°12';URSA MAJOR;Galaxy Type Sa;12.1;2'x2';Distance : 29 Mly
NGC5376;13h55.3m;+59°30';URSA MAJOR;Galaxy Type SBab;12.1;2'x1';Distance : 29 Mly
NGC3259;10h32.6m;+65°2';URSA MAJOR;Galaxy Type SBbc;12.1;2'x1';Distance : 24 Mly
NGC5832;14h57.8m;+71°41';URSA MINOR;Galaxy Type SBb;12.1;4'x2';Distance : 6 Mly
NGC4046;12h2.7m;+1°59';VIRGO;Galaxy Type SBa;12;3'x2';Distance : 28 Mly
NGC4452;12h28.7m;+11°45';VIRGO;Galaxy Type S0;12;3'x1';Distance : 2 Mly
NGC4313;12h22.6m;+11°48';VIRGO;Galaxy Type Sab;12;4'x1';Distance : 20 Mly
NGC4551;12h35.6m;+12°16';VIRGO;Galaxy Type E2;12;2'x1';Distance : 17 Mly
NGC4116;12h7.6m;+2°41';VIRGO;Galaxy Type SBc;12;4'x2';Distance : 18 Mly
NGC4430;12h27.4m;+6°16';VIRGO;Galaxy Type SBb/P;12;2'x2';Distance : 20 Mly
NGC4307;12h22.1m;+9°3';VIRGO;Galaxy Type Sb;12;4'x1';Distance : 15 Mly
NGC4904;13h1m;-0°2';VIRGO;Galaxy Type SBc;12;2'x2';Distance : 17 Mly
NGC5254;13h39.6m;-11°30';VIRGO;Galaxy Type Sc;12;3'x2';Distance : 33 Mly
NGC5079;13h19.6m;-12°42';VIRGO;Galaxy Type SBbc/P;12;2'x1';Distance : 32 Mly
NGC4597;12h40.2m;-5°48';VIRGO;Galaxy Type SBc;12;4'x2';Distance : 15 Mly
NGC4528;12h34.1m;+11°19';VIRGO;Galaxy Type SB0;12.1;2'x1';Distance : 19 Mly
NGC4294;12h21.3m;+11°31';VIRGO;Galaxy Type SBc;12.1;3'x1';Distance : 5 Mly
NGC4387;12h25.7m;+12°49';VIRGO;Galaxy Type E4;12.1;2'x1';Distance : 7 Mly
NGC4458;12h29m;+13°15';VIRGO;Galaxy Type E1;12.1;2'x2';Distance : 9 Mly
NGC5230;13h35.5m;+13°41';VIRGO;Galaxy Type SBc;12.1;2'x2';Distance : 97 Mly
NGC5129;13h24.2m;+13°59';VIRGO;Galaxy Type E2;12.1;2'x1';Distance : 97 Mly
NGC4420;12h27m;+2°30';VIRGO;Galaxy Type SBbc;12.1;2'x1';Distance : 24 Mly
NGC5774;14h53.7m;+3°35';VIRGO;Galaxy Type SBcd;12.1;3'x2';Distance : 22 Mly
NGC4215;12h15.9m;+6°24';VIRGO;Galaxy Type S0-a;12.1;2'x1';Distance : 29 Mly
NGC4343;12h23.6m;+6°57';VIRGO;Galaxy Type Sb;12.1;2'x1';Distance : 14 Mly
NGC4470;12h29.6m;+7°49';VIRGO;Galaxy Type Sa;12.1;1'x1';Distance : 33 Mly
NGC4415;12h26.7m;+8°26';VIRGO;Galaxy Type S0-a;12.1;1'x1';Distance : 13 Mly
NGC4795;12h55m;+8°4';VIRGO;Galaxy Type SB0-a;12.1;2'x2';Distance : 39 Mly
NGC5496;14h11.6m;-1°10';VIRGO;Galaxy Type SBcd;12.1;5'x1';Distance : 22 Mly
NGC4830;12h57.5m;-19°41';VIRGO;Galaxy Type E/SB0;12.1;2'x1';Distance : 47 Mly
NGC4915;13h1.5m;-4°33';VIRGO;Galaxy Type E2;12.1;2'x1';Distance : 43 Mly
NGC5426;14h3.4m;-6°4';VIRGO;Galaxy Type Sc;12.1;3'x2';Distance : 36 Mly
