M1;5h34.5m;+22°01';TAURUS;Supernova Remnant;8.4;6'x 4';Distance : 6500 ly, Crab Nebula
M2;21h33.5m;-0°49';AQUARIUS;Globular Cluster;6.5;13';Distance : 55000 ly
M3;13h42.2m;+28°23';CANES VENAT;Globular Cluster;6.4;16';Distance : 33900 ly
M4;16h23.6m;-26°32';SCORPIUS;Globular Cluster;5.6;26';Distance : 6033 ly, Spider Globular
M5;15h18.6m;+2°05';SERPENS;Globular Cluster;5.6;17';Distance : 24500 ly, Rose Cluster
M6;17h40.1m;-32°13';SCORPIUS;Open Cluster;4.2;15';Distance : 1590 ly, Butterfly Cluster
M7;17h53.9m;-34°49';SCORPIUS;Open Cluster;3.3;80';Distance : 980 ly, Ptolemy's Cluster
M8;18h03.8m;-24°23';SAGITTARIUS;Nebula;4.6;90'x40';Distance : 4100 ly, Lagoon Nebula
M9;17h19.2m;-18°31';OPHIUCHUS;Globular Cluster;7.7;9';Distance  :25800 ly
M10;16h57.1m;-4°06';OPHIUCHUS;Globular Cluster;6.6;15';Distance : 14.3 ly
M11;18h51.1m;-6°16';SCUTUM;Open Cluster;5.8;14';Distance : 6120 ly, Wild Duck Cluster
M12;16h47.2m;-1°57';OPHIUCHUS;Globular Cluster;6.7;15';Distance : 16440 ly
M13;16h41.7m;+36°28';HERCULES;Globular Cluster;5.8;17';Distance : 22200 ly, Great HERCULES Cluster
M14;17h37.6m;-3°15';OPHIUCHUS;Globular Cluster;7.6;12';Distance : 30300 ly
M15;21h30.0m;+12°10';PEGASUS;Globular Cluster;6.2;12';Distance : 35690 Great PEGASUS Cluster
M16;18h18.8m;-13°47';SERPENS;Nebula/Open Cluster;6.4;35'x7';Distance : 5700 ly, Eagle Nebula
M17;18h20.8m;-16°11';SAGITTARIUS;Nebula/Open Cluster;6;46'x37';Distance : 5500 ly, Omega Nebula
M18;18h19.9m;-17°08';SAGITTARIUS;Open Cluster;7.5;9';Distance : 4230 ly, Black Swan
M19;17h02.6m;-26°16';OPHIUCHUS;Globular Cluster;6.8;14';Distance : 28700 ly
M20;18h02.6m;-23°02';SAGITTARIUS;Nebula/Open Cluster;6.3;28'x28'x28';Distance : 4100 ly, Trifid Nebula
M21;18h04.6m;-22°30';SAGITTARIUS;Open Cluster;6.5;13';Distance : 3930 ly, Webb's Cross Cluster
M22;18h36.4m;-23°54';SAGITTARIUS;Globular Cluster;5.1;24';Distance : 10600 ly, Great Sagittarius Cluster
M23;17h56.8m;-19°01';SAGITTARIUS;Open Cluster;5.5;27';Distance : 2050 ly
M24;18h16.9m;-18°29';SAGITTARIUS;Thick Milky Way Patch;2.5;90'x60';Distance : 10000 ly, Small Sagittarius Star Cloud
M25;18h31.6m;-19°15';SAGITTARIUS;Open Cluster;4.6;32';Distance : 2000 ly
M26;18h45.2m;-9°24';SCUTUM;Open Cluster;8;15';Distance : 5160 ly
M27;19h59.6m;+22°43';VULPECULA;Planetary Nebula;7.4;8'x4';Distance : 1269 ly, Dumbell Nebula
M28;18h24.5m;-24°52';SAGITTARIUS;Globular Cluster;6.8;11';Distance : 18260 ly 
M29;20h23.9m;+38°32';CYGNUS;Open Cluster;7.1;7';Distance : 5240 ly, Cooling Tower
M30;21h40.4m;-23°11';CAPRICORNUS;Globular Cluster;7.2;11';Distance : 27140 ly, Jellyfish Cluster
M31;0h42.7m;+41°16';ANDROMEDA;Spiral Galaxy;3.4;178'x63';Distance : 2.5 Mly, Andromeda Galaxy
M32;0h42.7m;+40°52';ANDROMEDA;Elliptical Galaxy;8.1;8'x6';Distance : 2.49 Mly, Andromeda Satellite #1
M33;1h33.9m;+30°39';TRIANGLE;Spiral Galaxy;5.7;62'x39';Distance : 3.2 Mly, Triangulum/Pinwheel Galaxy
M34;2h42.0m;+42°47';PERSEUS;Open Cluster;5.5;35';Distance : 1500 ly, Spiral Cluster
M35;6h08.9m;+24°20';GEMINI;Open Cluster;5.3;28';Distance : 2970 ly, Shoe-Buckle Cluster
M36;5h36.1m;+34°08';AURIGA;Open CluSERPENS ;6.3;12';Distance : 4340 ly, Pinwheel Cluster
M37;5h52.4m;+32°33';AURIGA;Open Cluster;6.2;24';Distance : 4511 ly, Salt and Pepper Cluster
M38;5h28.7m;+35°50';AURIGA;Open Cluster;7.4;21';Distance : 3480 ly, Starfish Cluster
M39;21h32.2m;+48°26';CYGNUS;Open Cluster;4.6;32';Distance : 1010 ly
M40;12h22.4m;+58°05';URSA MAJOR;Double Star;9.6;1';Distance : 1013 (brightest) and 470 ly, Winnecke 4
M41;6h46.0m;-20°44';CANIS MAJOR;Open Cluster;4.5;38';Distance : 2300 ly, Little Beehive Cluster
M42;5h35.4m;-5°27';ORION;Nebula;4;66'x60';Distance : 1344 ly, Great Orion Nebula
M43;5h35.6m;-5°16';ORION;Nebula;9;20'x15';Distance : 1300 ly, De Mairan's Nebula
M44;8h40.1m;+19°59';CANCER;Open Cluster;3.7;95';Distance : 610 ly, Beehive Cluster or Praesepe
M45;3h47.0m;+24°07';TAURUS;Open Cluster;1.6;110';Distance : 444 ly,Pleiades
M46;7h41.8m;-14°49';PUPPIS;Open Cluster;6;27';Distance : 4920 ly 
M47;7h36.6m;-14°30';PUPPIS;Open Cluster;4.4;30';Distance : 1624 ly
M48;8h13.8m;-5°48';HYDRA;Open Cluster;5.8;54';Distance : 2500 ly 
M49;12h29.8m;+8°00';VIRGO;Elliptical Galaxy;8.4;9'x7';Distance : 55.9 Mly
M50;7h02.8m;-8°23';MONOCEROS;Open Cluster;5.9;16';Distance : 2870 ly, Heart-Shaped Cluster
M51;13h29.9m;+47°12';CANES VENAT;Spiral Galaxy;8.4;11'x8';Distance : 23.5 Mly, Whirlpool Galaxy
M52;23h24.2m;+61°35';CASSIOPEIA;Open Cluster;7.3;13';Distance : 4600 ly, Scorpion Cluster
M53;13h12.9m;+18°10';COMA BERENI;Globular Cluster;7.6;13';Distance : 58000 ly 
M54;18h55.1m;-30°29';SAGITTARIUS;Globular Cluster;7.6;9';Distance : 87400 ly 
M55;19h40.0m;-30°58';SAGITTARIUS;Globular Cluster;6.3;19';Distance : 17600 ly, Specter Cluster
M56;19h16.6m;+30°11';LYRA;Globular Cluster;8.3;7';Distance : 32900 ly 
M57;18h53.6m;+33°02';LYRA;Planetary Nebula;8.8;1.3';Distance : 2567 ly, Ring Nebula
M58;12h37.7m;+11°49';VIRGO;Spiral Galaxy;9.7;5'x4';Distance : 62 Mly
M59;12h42.0m;+11°39';VIRGO;Elliptical Galaxy;9.6;5'x3';Distance : 50.1 Mly
M60;12h43.7m;+11°33';VIRGO;Elliptical Galaxy;8.8;7'x6';Distance : 56.7 Mly
M61;12h21.9m;+4°28';VIRGO;Spiral Galaxy;9.7;6'x5';Distance : 52.5 Mly, Swelling Spiral
M62;17h01.2m;-30°07';OPHIUCHUS;Globular Cluster;6.5;14';Distance : 21500 ly, Flickering Globular
M63;13h15.8m;+42°02';CANES VENAT;Spiral Galaxy;9.3;12'x8';Distance : 29.3 Mly, Sunflower Galaxy
M64;12h56.7m;+21°41';COMA BERENI;Spiral Galaxy;8.5;9'x5';Distance : 17.3 Mly, Black Eye Galaxy
M65;11h18.9m;+13°05';LEO;Spiral Galaxy;9.3;10'x3';Distance : 41 Mly, Leo Triplet
M66;11h20.2m;+12°59';LEO;Spiral Galaxy;8.9;9'x4';Distance : 31 Mly, Leo Triplet
M67;8h51.4m;+11°49';CANCER;Open Cluster;6.1;30';Distance : 2700 ly, King Cobra or Golden Eye Cluster
M68;12h39.5m;-26°45';HYDRA;Globular Cluster;7.8;12';Distance : 33600 ly 
M69;18h31.4m;-32°21';SAGITTARIUS;Globular Cluster;7.6;7';Distance : 29000 ly 
M70;18h43.2m;-32°18';SAGITTARIUS;Globular Cluster;7.9;8';Distance : 29400 ly 
M71;19h53.8m;+18°47';SAGITTA;Globular Cluster;8.2;7';Distance : 13000 ly, Angelfish Cluster
M72;20h53.5m;-12°32';AQUARIUS;Globular Cluster;9.3;6';Distance : 54570 ly
M73;20h58.9m;-12°38';AQUARIUS;4-Star Asterism;9;1';Distance : 2500 ly
M74;1h36.7m;+15°47';PISCES;Spiral Galaxy;9.4;10'x9';Distance : 30 Mly, Phantom Galaxy
M75;20h06.1m;-21°55';SAGITTARIUS;Globular Cluster;8.5;6';Distance : 68000 ly
M76;1h42.4m;+51°34';PERSEUS;Planetary Nebula;10.1;2'x1';Distance : 2500 ly, Little Dumbbell Nebula
M77;2h42.7m;-0°01';CETUS;Spiral Galaxy;8.9;7'x6';Distance : 47 Mly, Cetus A or Squid Galaxy
M78;5h46.7m;+0°03';ORION;Nebula;8.3;8'x6';Distance : 1350 ly
M79;5h24.5m;-24°33';LEPUS;Globular Cluster;7.7;9';Distance : 42000 ly 
M80;16h17.0m;-22°59';SCORPIUS;Globular Cluster;7.3;9';Distance : 32600 ly 
M81;9h55.6m;+69°04';URSA MAJOR;Spiral Galaxy;6.9;26'x14';Distance : 12 Mly, Bode's Galaxy
M82;9h55.8m;+69°41';URSA MAJOR;Irregular Galaxy;8.4;11'x5';Distance : 12 Mly, Cigar Galaxy
M83;13h37.0m;-29°52';HYDRA;Spiral Galaxy;7.6;11'x10';Distance : 14.7 Mly, Southern Pinwheel Galaxy
M84;12h25.1m;+12°53';VIRGO;Elliptical Galaxy;9.1;5'x4';Distance : 54.9 Mly 
M85;12h25.4m;+18°11';COMA BERENI;Elliptical Galaxy;9.1;7'x5';Distance : 60 Mly
M86;12h26.2m;+12°57';VIRGO;Elliptical Galaxy;8.9;7'x5';Distance : 52 Mly
M87;12h30.8m;+12°24';VIRGO;Elliptical Galaxy;8.6;7';Distance : 54 Mly, Virgo A or Smoking Gun Galaxy
M88;12h32.0m;+14°25';COMA BERENI;Spiral Galaxy;9.6;7'x4';Distance : 58.7 Mly
M89;12h35.7m;+12°33';VIRGO;Elliptical Galaxy;9.8;4';Distance : 50 Mly
M90;12h36.8m;+13°10';VIRGO;Spiral Galaxy;9.5;10'x5';Distance : 58.7 Mly
M91;12h35.4m;+14°30';COMA BERENI;Spiral Galaxy;10.2;5'x4';Distance : 63 Mly 
M92;17h17.1m;+43°08';HERCULES;Globular Cluster;6.4;11';Distance :26700 ly 
M93;7h44.6m;-23°52';PUPPIS;Open Cluster;6;22';Distance : 3380 ly, Critter Cluster
M94;12h50.9m;+41°07';CANES VENAT;Spiral Galaxy;8.2;11'x9';Distance : 16 Mly, Crocodile Eye or Cat's Eye Galaxy
M95;10h44.0m;+11°42';LEO;Spiral Galaxy;9.7;7'x5';Distance : 32.6 Mly 
M96;10h46.8m;+11°49';LEO;Spiral Galaxy;9.2;7'x5';Distance : 31 Mly 
M97;11h14.8m;+55°01';URSA MAJOR;Planetary Nebula;9.9;3';Distance : 2030 ly, Owl Nebula
M98;12h13.8m;+14°54';COMA BERENI;Spiral Galaxy;10.1;10'x3';Distance : 44 Mly 
M99;12h18.8m;+14°25';COMA BERENI;Spiral Galaxy;9.9;5';Distance : 45.2 Mly, St. Catherine’s Wheel
M100;12h22.9m;+15°49';COMA BERENI;Spiral Galaxy;9.3;7'x6';Distance : 55 Mly, Mirror Galaxy
M101;14h03.2m;+54°21';URSA MAJOR;Spiral Galaxy;7.9;27'x26';Distance : 20.9 Mly, Pinwheel Galaxy
M102;15h06.5m;+55°46';DRACO;Elliptical Galaxy;9.9;6'x3';Distance : 50 Mly, Spindle Galaxy
M103;1h33.2m;+60°42';CASSIOPEIA;Open Cluster;7.4;6';Distance : 10000 ly 
M104;12h40.0m;-11°37';VIRGO;Spiral Galaxy;8;9'x4';Distance : 29 Mly, Sombrero Galaxy
M105;10h47.8m;+12°35';LEO;Elliptical Galaxy;9.3;5'x4';Distance : 36.6 Mly
M106;12h19.0m;+47°18';CANES VENAT;Spiral Galaxy;8.4;18'x8';Distance : 23.7 Mly 
M107;16h32.5m;-13°03';OPHIUCHUS;Globular Cluster;7.9;10';Distance : 20.9 Mly, Crucifix Cluster
M108;11h11.5m;+55°40';URSA MAJOR;Spiral Galaxy;10;8'x2';Distance : 28.7 Mly, Surfboard Galaxy
M109;11h57.6m;+53°23';URSA MAJOR;Spiral Galaxy;9.8;8'x5';Distance : 67.2 Mly, Vacuum Cleaner Galaxy
M110;0h40.4m;+41°41';ANDROMEDA;Elliptical Galaxy;8.5;17'x10';Distance : 2.69 Mly, Andromeda Satellite #2
